payout_provider,payout_amount,payout_currency,timestamp
PayPal,5.0,EUR,2024-06-17T09:46:59.276341+00:00
PayPal International,5.0,EUR,2024-06-17T09:46:59.311001+00:00
PayPal,20.0,EUR,2024-06-17T09:46:59.349643+00:00
PayPal,5.0,USD,2024-06-17T09:46:59.378459+00:00
Amazon.com,50.0,USD,2024-06-17T09:46:59.409073+00:00
PayPal,20.0,AUD,2024-06-17T09:46:59.436046+00:00
PayPal International,5.0,EUR,2024-06-17T09:47:00.986582+00:00
PayPal,5.0,GBP,2024-06-17T09:47:01.020286+00:00
PayPal,10.0,GBP,2024-06-17T09:47:01.051858+00:00
PayPal,5.0,GBP,2024-06-17T09:47:01.084495+00:00
Virtual Visa International,1.0,USD,2024-06-17T09:47:01.114522+00:00
ACH,5.0,USD,2024-06-17T09:47:01.144528+00:00
Venmo,100.0,USD,2024-06-17T09:47:01.177493+00:00
PayPal,5.0,USD,2024-06-17T09:47:01.213018+00:00
Amazon.de,1.0,EUR,2024-06-17T09:47:01.242288+00:00
PayPal,20.0,EUR,2024-06-17T09:47:01.268922+00:00
PayPal,50.0,EUR,2024-06-17T09:47:01.298582+00:00
PayPal,5.0,GBP,2024-06-17T09:47:01.322789+00:00
Esselunga IT,10.0,EUR,2024-06-17T09:47:01.350879+00:00
Amazon.it,2.0,EUR,2024-06-17T09:47:01.379967+00:00
PayPal,5.0,EUR,2024-06-17T09:47:01.406465+00:00
PayPal International,5.0,EUR,2024-06-17T09:47:01.440253+00:00
PayPal,20.0,EUR,2024-06-17T09:47:01.471905+00:00
PayPal,5.0,USD,2024-06-17T09:47:01.502561+00:00
Amazon.com,50.0,USD,2024-06-17T09:47:01.529077+00:00
PayPal,20.0,AUD,2024-06-17T09:47:01.558085+00:00
PayPal,10.0,EUR,2024-06-17T09:47:03.108463+00:00
PayPal International,5.0,EUR,2024-06-17T09:47:03.140460+00:00
PayPal,5.0,GBP,2024-06-17T09:47:03.165471+00:00
PayPal,10.0,GBP,2024-06-17T09:47:03.195039+00:00
PayPal,5.0,GBP,2024-06-17T09:47:03.225357+00:00
Virtual Visa International,1.0,USD,2024-06-17T09:47:03.260415+00:00
ACH,5.0,USD,2024-06-17T09:47:03.288047+00:00
Venmo,100.0,USD,2024-06-17T09:47:03.315224+00:00
PayPal,5.0,USD,2024-06-17T09:47:03.346361+00:00
Amazon.de,1.0,EUR,2024-06-17T09:47:03.376128+00:00
PayPal,20.0,EUR,2024-06-17T09:47:03.401130+00:00
PayPal,50.0,EUR,2024-06-17T09:47:03.427575+00:00
PayPal,5.0,GBP,2024-06-17T09:47:03.459683+00:00
Esselunga IT,10.0,EUR,2024-06-17T09:47:03.489216+00:00
Amazon.it,2.0,EUR,2024-06-17T09:47:03.520272+00:00
PayPal,5.0,EUR,2024-06-17T09:47:03.554380+00:00
PayPal International,5.0,EUR,2024-06-17T09:47:03.599648+00:00
PayPal,20.0,EUR,2024-06-17T09:47:03.636098+00:00
PayPal,5.0,USD,2024-06-17T09:47:03.664776+00:00
Amazon.com,50.0,USD,2024-06-17T09:47:03.691874+00:00
PayPal,5.0,GBP,2024-06-17T09:47:05.234537+00:00
Sainsbury's,50.0,GBP,2024-06-17T09:47:05.261059+00:00
PayPal,10.0,EUR,2024-06-17T09:47:05.288118+00:00
PayPal International,5.0,EUR,2024-06-17T09:47:05.314243+00:00
PayPal,5.0,GBP,2024-06-17T09:47:05.340284+00:00
PayPal,10.0,GBP,2024-06-17T09:47:05.364042+00:00
PayPal,5.0,GBP,2024-06-17T09:47:05.388121+00:00
Virtual Visa International,1.0,USD,2024-06-17T09:47:05.413583+00:00
ACH,5.0,USD,2024-06-17T09:47:05.439006+00:00
Venmo,100.0,USD,2024-06-17T09:47:05.465632+00:00
PayPal,5.0,USD,2024-06-17T09:47:05.493641+00:00
